Imports from Country (Unit : US$ Thousand),總計,亞洲,中國大陸,香港,日本,韓國,新加坡,馬來西亞,印尼,越南,泰國,菲律賓,印度,孟加拉,巴基斯坦,澳門,亞塞拜然,柬埔寨,斯里蘭卡,緬甸,不丹,汶萊,尼泊爾,寮國,北韓,哈薩克,烏茲別克,喬治亞,亞美尼亞,土庫曼,塔吉克,吉爾吉斯,中東,沙烏地阿拉伯,科威特,阿拉伯聯合大公國,伊朗,伊拉克,土耳其,卡達,阿曼,以色列,巴林,阿富汗,塞普勒斯,約旦,黎巴嫩,敘利亞,葉門,歐洲,德國,荷蘭,英國,義大利,法國,俄羅斯,西班牙,瑞士,比利時,芬蘭,瑞典,奧地利,波蘭,丹麥,愛爾蘭,匈牙利,葡萄牙,捷克,挪威,斯洛伐克,烏克蘭,希臘,阿爾巴尼亞,保加利亞,教廷,冰島,盧森堡,馬爾他,摩納哥,羅馬尼亞,塞爾維亞,蒙特內哥羅,馬其頓,波士尼亞與赫塞哥維納,克羅埃西亞,斯洛維尼亞,白俄羅斯,摩爾多瓦,立陶宛,愛沙尼亞,拉脫維亞,北美洲,美國,加拿大,中美洲,墨西哥,巴拿馬,哥斯大黎加,巴貝多,巴哈馬,安圭拉,安地卡及巴布達,貝里斯,多明尼克,多明尼加,薩爾瓦多,瓜地馬拉,格瑞那達,海地,宏都拉斯,牙買加,蒙瑟拉特,尼加拉瓜,玻多黎各,聖露西亞,聖文森,千里達及托巴哥,聖克里斯多福及尼維斯,古巴,南美洲,巴西,智利,秘魯,阿根廷,哥倫比亞,玻利維亞,厄瓜多,圭亞那(法屬),蓋亞那,巴拉圭,蘇利南,烏拉圭,委內瑞拉,大洋洲,澳大利亞,紐西蘭,薩摩亞(美屬),斐濟,吉里巴斯,馬爾地夫,諾魯,巴布亞新幾內亞,紐克里多尼亞,萬那杜,所羅門島,大溪地,東加,吐瓦魯,薩摩亞,非洲,南非,安哥拉,赤道幾內亞,剛果,奈及利亞,埃及,賴比瑞亞,阿爾及利亞,波札那,蒲隆地,維德角,喀麥隆,中非共和國,查德,剛果民主共和國,葛摩,貝南,衣索比亞,厄利垂亞,吉布地,加彭,甘比亞,迦納,幾內亞,幾內亞比索,象牙海岸,肯亞,賴索托,利比亞,馬達加斯加,馬拉威,馬利,茅利塔尼亞,摩洛哥,模里西斯,莫三比克,納米比亞,尼日,盧安達,辛巴威,聖多美普林西比,塞內加爾,獅子山,索馬利亞,蘇丹,史瓦帝尼,坦尚尼亞,多哥,突尼西亞,烏干達,布吉那法索,尚比亞
2001年,109585639,58179882,5970374,1863024,26105024,6762758,3386012,4237177,2533924,420310,2199389,3265731,494684,15679,70509,46094,0,10544,10663,29000,2,150,1203,4175,3551,1226,12462,387,182,863,319,111,6610809,2749924,1131999,775387,890554,221336,85343,67716,132810,324173,138337,2,883,11507,490,6922,73427,15168312,4309467,1533286,1480949,1090490,2183328,604499,312833,873597,512428,242927,619470,236295,62556,190035,249640,104047,21233,53384,132874,7910,178778,11842,144,12632,106,11252,15474,24266,1246,38557,0,0,339,91,584,29188,12217,51,4692,2286,190,20101834,19088599,1009666,491373,420350,4220,13688,258,98,1,70,380,79,1158,1168,21668,0,14,1047,156,5,742,22648,0,656,304,50,740,1054109,446201,428738,95155,36425,18839,157,11369,1,387,11287,71,2456,2588,3544570,3092423,345802,1623,4499,0,34,45,12459,85798,835,47,0,231,0,49,2666502,632083,458593,19892,774452,297533,19406,20,25030,0,3,6,147782,2566,1654,243,1,3850,773,103,0,12856,14,9021,158,0,35138,327,14,2076,1395,3394,7513,22,72496,1103,664,520,2510,75,25560,0,296,8,1,15011,6402,2743,16505,2452,4138,2542,57538
2001年1月,9485763,4860189,474599,157733,2166867,588298,302721,331813,204701,43964,197773,245074,70840,1450,4922,3049,0,731,1288,1871,0,19,81,248,32,809,4832,1,0,261,0,42,514249,190194,57072,65414,70476,0,15259,5364,56696,39758,13409,0,23,530,1,20,34,1331037,386030,179596,131377,87807,146021,63595,24801,76953,33323,20773,52546,21537,7573,16630,13293,10415,1987,3094,9754,1763,20631,1271,0,2395,104,575,1527,1802,85,9491,0,0,53,0,31,3050,642,0,284,153,8,1921399,1846976,74292,30466,26801,278,1633,32,27,1,69,1,6,62,60,120,0,0,40,76,0,31,584,0,389,0,11,91,93700,29402,45608,10878,3049,1551,0,1149,0,0,1339,0,413,313,343255,306768,28216,0,1999,0,23,1,855,5331,0,4,0,5,0,0,247128,68807,61130,0,49870,28621,132,0,0,0,0,0,0,114,0,0,0,0,116,0,0,2834,0,208,2,0,1699,2,1,0,76,67,599,0,6163,74,68,86,0,0,3874,0,31,0,0,14653,53,856,0,86,56,0,6851
2001年2月,9270266,4931327,376319,146664,2427256,592040,305460,340590,164311,25109,188380,236814,47404,971,6733,2992,0,649,1325,1659,0,1,42,382,0,0,1531,1,0,0,317,0,473176,200305,56377,107709,57395,0,5033,8725,3350,26262,7905,0,8,61,1,27,18,1245993,344099,121598,166239,97696,128725,47640,24654,77447,30489,36817,55040,25743,4515,16194,15615,6713,1387,4503,12792,536,12249,1153,2,1510,0,557,1014,1368,96,1389,0,0,1,0,80,2809,4420,0,398,294,14,1850610,1769570,80996,25468,21376,81,1168,19,0,0,0,58,26,183,97,11,0,0,180,2,0,48,2093,0,0,0,4,8,93152,40150,38285,7646,3408,1561,8,591,0,0,1044,0,105,354,300067,265952,26168,0,14,0,2,9,879,6951,15,0,0,37,0,0,219261,44187,26697,0,102619,28697,409,0,0,0,0,0,0,0,302,0,0,0,0,32,0,1303,0,277,0,0,874,13,0,0,81,3,741,0,6042,138,14,0,11,0,1683,0,31,1,0,76,303,65,549,286,58,0,3766
2001年3月,10209773,5511315,543299,179669,2597419,613684,291733,392990,215202,42391,193400,297074,58429,1655,6343,4225,0,850,545,3566,2,19,88,820,678,0,280,22,0,0,0,0,517082,254987,57085,5407,130280,0,11290,9387,5070,30581,11792,1,81,882,207,2,32,1341758,394739,118656,139191,102904,122605,67593,29956,88074,32288,33823,52478,27543,6965,18382,34290,13853,1327,4870,9435,811,24410,839,2,706,0,469,2129,2433,520,5756,0,0,1,8,45,3204,322,9,310,179,22,1963935,1877255,86463,46808,36656,147,1051,0,0,0,0,0,2,104,84,7200,0,1,145,4,0,27,1000,0,176,63,16,21,90013,30965,38647,11338,2713,3717,51,1353,0,0,528,17,418,161,299812,263464,29677,0,6,0,0,1,64,6540,0,0,0,4,0,2,288866,48890,56399,0,134017,66,458,0,0,0,3,0,22004,0,0,243,0,0,25,0,0,0,0,188,0,0,6744,23,0,0,170,0,500,0,7156,79,0,27,0,75,806,0,13,1,0,0,272,78,2315,242,0,0,8070
2001年4月,10720892,5589025,570799,191068,2551185,639250,302503,397475,252484,37047,234033,261650,55062,1240,8436,3709,0,1527,573,2860,0,22,130,343,83,0,0,58,180,0,0,0,716035,240081,145517,121627,87919,0,3740,10711,22412,26793,26235,0,74,1321,52,1,29552,1504340,404064,143992,130026,108512,272149,56387,29412,76607,56218,19823,71997,22920,4460,16473,18506,18274,1864,4620,9727,415,19083,1335,23,1536,0,857,3984,3403,45,3187,0,0,120,18,110,2910,428,22,541,88,6,1945934,1854039,91451,39718,34791,174,1629,3,17,0,0,21,3,107,114,15,0,1,135,8,0,108,2196,0,91,72,2,194,79244,27525,36376,8515,2732,1574,5,1209,0,0,636,0,298,273,339193,293118,36087,0,16,0,4,5,1104,8745,68,0,0,0,0,4,363676,67807,102199,0,153946,130,745,0,0,0,0,0,68,14,249,0,0,996,178,0,0,303,0,201,2,0,8697,31,1,0,104,1,1624,0,12220,141,0,182,2,0,4112,0,38,1,0,42,31,556,2816,334,803,218,4886
2001年5月,9132028,4799862,496799,158147,2157074,541918,268448,329829,250134,33891,199742,252559,36484,1122,6584,4522,0,512,1511,2307,0,31,87,287,0,0,974,92,0,0,0,0,532116,207608,78004,23234,68956,47919,4859,4080,670,36007,10170,1,40,167,81,6786,43535,1255649,370415,98857,124455,90745,166531,45652,27329,77322,42274,34589,58134,18263,5157,17770,21222,2659,1690,4944,10234,320,24816,1148,14,344,0,1285,500,1547,54,4491,0,0,0,0,18,1636,273,1,262,422,2,1760125,1667306,92595,37874,27070,74,1356,7,0,0,0,1,12,115,17,7007,0,6,82,7,0,121,1771,0,0,65,7,30,109774,59488,36979,5717,2466,2327,7,1231,0,0,1044,0,285,209,320423,278172,30490,15,1,0,3,0,2212,9368,2,30,0,99,0,0,195773,57939,0,0,24212,32402,9086,1,0,0,0,0,42513,21,390,0,0,1134,0,0,0,1816,0,237,0,0,5352,39,0,0,11,0,1338,0,3798,141,214,21,1,0,606,0,27,1,0,0,832,54,3113,70,736,220,9448
2001年6月,8840629,4676135,451752,135722,2214889,502729,250694,312508,240992,33629,186739,243958,23061,1083,3796,3065,0,2027,530,2752,0,6,28,388,0,0,594,58,0,0,2,0,532808,241161,145710,47742,54986,0,5674,2382,344,24934,6740,0,58,2968,45,1,62,1230392,349841,112897,107191,74495,207509,50740,26407,61546,55845,26321,47360,12308,2739,14360,18679,9519,1303,1730,10393,458,23012,606,0,518,0,658,3160,859,44,4557,0,0,17,1,30,2983,1337,0,542,220,1,1617761,1541267,76391,39951,29588,252,722,24,0,0,0,41,6,86,36,7116,0,0,109,1,0,28,1911,0,0,0,1,32,103495,40509,45357,9420,3089,2151,5,1730,0,386,519,10,160,60,286686,249509,28099,1,6,0,0,0,40,8637,257,0,0,32,0,0,242455,60158,29599,0,77437,57036,251,17,1,0,0,4,224,0,137,0,0,0,34,0,0,624,0,201,0,0,658,1,2,0,21,1,256,0,6041,34,346,0,2487,0,502,0,32,1,0,21,252,248,1876,42,357,0,3556
2001年7月,9384078,4687075,483395,129893,2051747,563206,305843,329907,222909,35001,188329,251028,42600,1621,4419,3041,0,716,1165,2445,0,0,63,494,0,0,0,1,0,0,0,0,691371,317268,154450,53347,109454,0,6372,10398,128,30444,9397,0,56,22,22,3,9,1417803,358071,162165,109367,99112,320459,34327,28564,68541,45732,15517,50808,22295,8131,17902,14957,7660,1518,4293,14406,955,19186,1229,1,614,0,1701,620,4880,122,659,0,0,83,2,44,1628,770,0,731,300,5,1705482,1625326,80107,44634,40671,588,888,8,0,0,0,5,1,68,5,48,0,1,82,21,0,35,2179,0,0,21,1,9,104664,49699,39500,10102,2297,672,1,1092,0,0,1038,10,143,110,314707,270228,33932,0,14,0,0,24,1640,8805,33,0,0,1,0,0,268188,70389,60438,0,56666,54944,470,0,0,0,0,1,243,7,577,0,0,175,73,0,0,1343,0,354,0,0,3462,49,2,0,41,0,696,1,3974,134,0,0,4,0,3526,0,37,1,0,23,2502,84,3452,78,430,0,3998
2001年8月,7862127,4165916,481224,138196,1720155,483528,257412,346730,203037,34007,147652,254189,27266,1256,3687,4642,0,368,927,2280,0,4,64,613,31,2,29,130,0,0,0,0,529964,223367,46930,81912,82351,47883,3110,2517,1366,16966,21911,0,114,1472,32,3,30,1098152,313285,82237,118384,102969,149092,41644,26950,57508,34079,8431,57806,18235,5531,12205,15280,4643,2074,3674,10907,866,17704,1264,55,1934,0,1778,451,2568,37,3105,0,0,4,11,52,1015,1036,2,893,234,25,1388979,1284449,103907,39445,34221,539,1859,7,7,0,0,1,3,54,121,50,0,0,88,3,0,103,1956,0,0,0,2,225,95809,39267,41737,9413,2375,600,9,655,0,0,1169,19,161,291,278243,237637,30767,19,0,0,0,3,1410,8294,51,0,0,1,0,17,143453,33392,26837,0,21559,85,836,1,0,0,0,0,40290,188,0,0,0,437,43,26,0,533,12,6282,0,0,1069,46,1,0,33,187,285,0,6335,60,0,80,4,0,543,0,7,0,0,18,664,92,719,337,756,452,1244
2001年9月,7926817,4233909,433201,139587,1829006,446368,273980,373996,182943,30753,149360,295237,24739,1799,4859,3611,0,489,847,2126,0,6,59,29,306,0,39,19,0,0,0,69,619109,338653,90970,70157,78669,0,9028,4048,405,17846,9234,0,49,42,0,2,7,987750,288689,118151,88194,77662,141412,30055,18629,46151,39466,10596,36592,13727,7071,12281,20459,7830,1990,5079,11535,389,3292,835,4,578,0,1163,196,847,62,2165,0,0,59,23,69,1920,5,0,156,127,10,1290362,1210381,79547,51769,47664,429,742,58,17,0,0,0,8,69,300,28,0,5,47,5,0,32,2202,0,0,0,0,60,87959,44867,31581,5834,2871,168,16,827,0,0,1582,0,55,157,248049,218713,20346,375,51,0,2,0,843,7524,29,1,0,0,0,11,263014,46892,27839,0,90486,50124,68,0,11764,0,0,0,20317,1497,0,0,0,142,123,0,0,827,0,262,147,0,1154,19,1,0,34,346,283,11,5005,131,0,51,0,0,781,0,7,0,0,0,510,218,1322,272,822,769,792
2001年10月,9918326,5466855,607804,187084,2446663,625522,314443,435435,195469,40105,189861,302138,32130,977,5290,4996,0,1530,804,1996,0,3,74,285,531,0,0,3,1,0,0,0,535785,174579,104789,105632,12295,93430,3404,3205,3360,24851,9964,0,167,55,0,0,55,1369473,386338,133754,127819,106141,183577,48524,31287,90745,62708,11575,64281,21363,3691,18591,34239,4963,2140,8840,13870,285,3620,803,12,727,2,1040,621,1701,109,1170,0,0,2,8,32,2923,1288,13,240,227,24,1730740,1631956,98115,47993,42282,1055,1384,55,0,0,0,2,9,77,238,27,0,0,62,8,0,114,2219,0,0,64,0,7,73420,25380,31860,7923,5632,428,1,709,0,0,1106,0,269,111,321231,278283,32150,1100,2379,0,0,0,1352,5837,69,6,0,0,0,16,190510,51051,28023,390,30029,26024,258,0,10344,0,0,0,21753,224,0,0,0,260,26,0,0,1945,1,265,7,0,2906,64,5,2076,778,491,435,2,5537,74,0,74,0,0,3283,0,58,0,0,113,696,208,141,364,120,385,2100
2001年11月,8136985,4422857,500548,151006,1910179,493198,257135,315173,196702,30877,151045,315403,36191,1289,7155,3959,0,630,415,2362,0,0,433,205,0,415,1071,1,0,0,0,0,417537,148804,117330,49397,67169,0,4134,2972,341,22258,4560,0,95,387,48,1,42,1152761,321032,137373,103962,66169,215185,46337,22702,77894,35695,9102,34331,16889,3033,14004,15815,8034,1562,3593,8843,485,2523,402,26,743,0,665,637,1690,34,1298,0,0,0,19,36,1802,264,3,203,27,34,1528528,1454795,73422,40693,35881,266,756,28,29,0,0,51,1,80,22,16,0,0,44,10,0,58,3250,0,0,20,5,30,48920,20176,20396,2789,2521,1278,3,373,0,0,847,15,93,429,243872,214668,23939,112,1,0,0,0,23,4884,132,0,0,26,0,0,93837,36629,0,19502,17167,39,206,0,1,0,0,0,3,267,0,0,0,339,20,45,0,49,0,290,1,0,188,21,0,0,45,1871,174,7,5854,41,23,0,2,0,4276,0,6,0,0,49,23,111,202,116,0,0,6268
2001年12月,8697956,4835419,550636,148255,2032585,673017,255641,330731,205042,33535,173077,310606,40479,1217,8285,4285,0,514,734,2776,0,39,53,81,1890,0,3111,3,0,602,0,0,531576,212918,77765,43808,70605,32104,13440,3927,38670,27474,7021,0,120,3599,1,75,51,1233205,392864,124011,134744,76278,130063,72007,22141,74807,44312,15560,38095,15471,3689,15243,27284,9485,2392,4144,10977,628,8253,956,5,1027,0,503,634,1168,38,1289,0,0,0,0,37,3309,1432,1,132,15,39,1397980,1325278,72378,46555,43349,335,499,17,1,0,0,199,2,154,75,31,0,0,34,11,5,37,1287,0,0,0,0,33,73957,38771,22411,5579,3274,2811,50,451,0,0,434,0,57,119,249030,215909,25930,1,13,0,0,1,2037,4883,179,6,0,26,0,0,150342,45943,39433,0,16445,19365,6489,0,2920,0,0,0,367,234,0,0,1,367,134,0,0,1278,0,256,0,0,2335,20,2,0,2,426,582,0,4371,57,0,0,0,0,1570,0,8,1,0,17,266,174,0,225,0,497,6557
2002年,115112835,63320135,8041252,1753335,27609846,7785115,3565957,4181317,2600693,449889,2193689,3671143,552622,14024,76069,30065,2,5915,11038,34237,2,70,755,3447,3198,2817,14427,598,1831,557,1,7,7261054,2410364,1290551,600330,764165,782004,253819,84742,519816,345291,122377,0,776,9169,436,1491,75721,14851060,4500470,1447688,1401240,1097122,1609327,928488,309081,815868,479671,186486,480744,189803,83270,187241,264444,87041,33099,49286,209026,6782,302071,14747,82,17182,1,12619,9459,19231,1124,56977,0,0,90,252,7865,16663,12370,2791,2350,3064,1986,19984068,19020666,957506,466217,362671,4817,28442,775,68,0,26,6633,106,1394,9072,5721,1,67,648,274,11,432,35420,0,324,474,1,2291,1447917,586292,568726,109908,117923,42301,61,6074,63,8,7766,304,3893,4588,3287478,2840465,340871,326,190,34,41,47,12625,91464,181,28,14,687,0,44,2139012,642398,599384,24354,342886,240201,20555,66,7410,0,0,0,26841,1101,668,2866,12,1121,2176,144,3,7299,205,3351,1514,0,26126,654,13,14866,569,1578,9115,16,47588,865,1530,801,14,0,10331,1,544,4,8,11904,3362,3513,22524,2726,11127,5945,38621
2002年1月,7560318,4251780,483120,128476,1669761,546815,278063,332752,142736,29761,168125,361183,33492,1551,3327,4447,0,320,800,2141,0,0,67,124,2,0,974,13,0,49,0,0,379018,181591,17341,37973,47874,29284,3637,1853,31885,23406,3311,0,33,601,0,133,96,950362,290932,80669,98153,69976,126397,30530,21519,57096,27125,10351,28845,13974,10186,16186,26077,7882,1347,4140,5515,416,6926,1218,3,1325,0,409,402,1836,16,9514,0,0,12,6,54,336,470,2,131,179,19,1319984,1261484,58213,36748,28037,454,566,41,0,0,0,2,36,48,118,5122,0,8,38,26,0,26,2010,0,0,64,0,5,70511,32694,30370,3697,2290,324,12,536,0,0,291,7,91,199,237468,209264,24961,0,10,0,0,0,1028,2183,0,0,0,0,0,0,118398,39967,0,0,14980,55427,89,1,0,0,0,0,327,55,0,0,4,0,40,0,3,274,0,48,14,0,79,87,0,0,9,0,2,1,3250,91,0,33,3,0,38,0,59,0,0,0,0,48,0,223,35,0,3208
2002年2月,6699739,3718051,394677,101040,1588835,494070,206929,236660,160453,24060,119094,294544,47374,1396,3764,1411,0,453,960,2556,0,0,82,370,2621,0,1210,1,0,0,0,0,317860,64817,73475,48353,27937,35945,7898,1304,39089,13720,4994,0,65,213,33,13,6,889665,236586,56760,86858,55281,206220,46967,19447,43959,22156,6217,29717,10128,1286,11271,16571,4297,1736,3419,6336,150,17880,904,4,425,1,773,260,977,17,410,0,0,0,0,38,1236,735,1,221,95,72,1253596,1212100,41086,26943,23728,474,1102,38,0,0,0,43,1,59,202,32,0,0,33,19,0,65,950,0,0,64,0,10,79158,31878,37881,4790,1601,1891,0,609,0,0,306,0,87,116,217383,191211,20028,0,0,0,0,0,1074,5028,0,0,1,0,0,5,47696,37487,0,0,17,19,514,19,0,0,0,0,2,0,0,0,0,0,20,39,0,0,0,314,8,0,617,16,0,0,51,2,251,0,4702,99,37,34,0,0,596,0,28,0,0,18,437,170,602,196,0,292,1109
2002年3月,10394696,5862128,691352,156939,2464519,786530,336389,433371,176143,40732,214608,420684,53384,1430,12401,3035,0,696,1032,3703,0,12,50,479,298,356,1014,21,2,206,0,6,590019,216714,97177,74862,23097,134465,10112,2941,1755,21098,7051,0,22,192,5,447,82,1267573,393216,114617,126190,125083,118485,77477,24834,80366,39520,14915,45842,14621,6590,17500,16771,5208,4322,3470,11130,460,16617,1503,12,1540,0,1224,763,1393,96,998,0,0,1,4,52,1792,60,4,407,162,28,1766450,1685109,81047,43745,38489,684,1168,29,0,0,0,43,30,117,330,95,0,1,58,8,0,14,2108,0,0,64,0,156,100620,41889,42564,6657,5472,2241,8,1046,63,0,204,0,234,241,315467,279148,28495,0,15,0,1,0,1389,6242,2,0,0,0,0,0,222400,64825,18880,0,35779,57728,7324,0,7209,0,0,0,113,0,0,467,1,371,165,0,0,808,0,258,17,0,3294,62,1,8870,63,1,304,7,5630,68,327,0,0,0,2464,0,34,1,0,32,239,137,1498,228,698,803,3690
2002年4月,9958519,5623773,689124,152890,2404361,728549,311363,404947,200376,44877,219548,335220,47431,805,6979,2207,0,443,1370,4935,0,3,79,242,6,356,3121,15,0,199,0,0,617447,135174,183608,19037,25070,164452,21835,14583,1943,34906,15853,0,140,276,79,201,290,1229633,385994,125116,113654,91885,109782,51057,24232,62848,46196,15412,46164,21821,6900,16053,23825,8236,2882,2725,21465,308,37636,1080,2,892,0,1158,404,1020,61,8180,0,0,14,153,37,1503,149,0,112,274,28,1673623,1593662,79650,32937,27849,225,1163,60,15,0,0,6,2,145,275,79,0,3,37,2,0,17,2520,0,0,0,0,171,126159,42951,54612,6314,17152,4077,11,279,0,0,348,28,268,119,268357,221057,34952,323,0,0,11,0,1196,10746,0,0,0,0,0,0,183235,55034,22981,24354,21439,24021,7789,0,0,0,0,0,1671,0,0,486,0,90,266,0,0,876,0,401,193,0,3522,25,0,2253,114,2,631,0,4078,115,0,202,0,0,741,0,35,0,7,4,442,342,1754,490,843,378,7655
2002年5月,9661651,5295202,649116,139558,2197351,675836,299045,352124,266112,42052,207279,348274,39366,846,7460,1658,0,1106,681,3929,0,6,54,497,127,0,380,43,0,96,0,0,626862,350514,102554,37520,13354,0,28144,3705,43373,37046,10081,0,8,482,20,3,56,1209776,380581,114802,125692,76030,103878,63223,21914,55189,45805,12456,37872,13459,6421,16686,16478,5857,2512,6606,63331,420,32614,541,0,1609,0,799,577,1005,127,569,0,0,2,1,29,1570,101,20,225,327,33,1742111,1661610,80366,33018,27440,316,1978,77,7,0,13,196,0,126,291,130,0,1,58,23,10,96,2015,0,0,64,0,60,127117,66727,43456,6033,4582,5441,0,38,0,0,308,124,342,65,298235,254417,35871,2,3,0,5,0,63,7630,0,1,0,205,0,0,141100,72734,25820,0,22470,21,813,1,0,0,0,0,66,174,171,0,0,94,35,0,0,0,203,378,82,0,3594,82,1,0,28,0,1512,0,4145,56,787,0,0,0,138,0,14,0,0,3,663,75,1629,145,1152,867,3149
2002年6月,9842742,5507475,682420,136050,2440077,647254,307028,344774,280972,36992,196546,312688,37045,1016,6614,1515,0,1006,516,3156,0,1,39,297,0,325,1162,2,0,0,1,0,497315,150473,113313,60026,59260,0,16036,9154,1916,31331,5966,0,26,3838,108,3,45865,1257157,413181,141784,114039,88467,103961,102188,26991,62604,42121,14924,39654,19940,7982,16055,20861,5844,1972,2349,9657,556,6969,992,5,1551,0,2349,1443,1603,72,2445,0,0,5,7,691,2410,623,19,166,420,32,1757752,1677551,79893,48014,33625,435,1600,63,0,0,5,166,0,165,5927,38,1,0,66,8,0,53,5488,0,323,0,0,38,118183,40189,59735,8173,3393,5226,0,247,0,0,496,99,314,310,309142,263177,35465,1,54,0,8,0,1183,9216,1,0,0,1,0,0,139218,51713,27025,0,41998,11,554,0,0,0,0,0,258,19,0,0,0,0,253,0,0,761,0,443,0,0,2662,120,0,0,6,52,347,0,4212,30,172,36,1,0,64,0,9,0,0,6,682,328,2039,103,1971,284,3057
2002年7月,10862458,5680121,694334,145793,2662326,664922,309766,366164,214322,38839,195296,260466,46303,1068,6681,1801,0,311,665,1910,0,28,91,266,125,319,304,148,0,0,0,0,561820,143691,116171,56434,7019,93133,33316,8848,45012,48222,9676,0,122,60,0,2,114,1502605,433452,181304,144690,114411,126790,144874,25408,75244,43346,22997,40400,15261,8389,17552,26124,6260,3779,2464,12491,873,40305,1225,3,2068,0,1469,784,2231,192,1523,0,0,1,10,1472,1169,139,2641,314,391,71,2213909,2120019,93647,44823,36982,466,856,134,9,0,7,7,4,185,196,20,0,1,85,33,0,9,5515,0,0,63,0,33,143922,52944,64201,12804,8018,2259,9,687,0,0,2371,0,487,134,295348,251517,31387,0,33,0,2,36,2847,9307,0,0,3,206,0,0,158121,72397,22601,0,41498,20,1306,0,0,0,0,0,18,171,0,483,1,194,119,0,0,21,0,371,7,0,2955,73,2,0,9,0,1466,0,2835,83,0,45,5,0,3202,0,7,2,0,13,484,104,2336,204,2492,749,1848
2002年8月,9304543,5015512,669216,152854,2210813,568837,285665,313123,282809,35305,153867,229923,34240,908,5104,2424,0,348,1038,2657,0,1,44,68,0,26,139,25,1814,6,0,0,652595,214669,75336,42782,56686,120335,23660,7896,84959,19567,6408,0,45,85,145,1,23,1324137,385463,149378,113656,95723,133821,92212,27334,71313,44039,17132,41952,14360,12940,14347,20015,4886,2878,1752,15335,671,41457,1363,0,1215,0,1087,349,1710,103,14422,0,0,27,4,133,1078,1338,1,187,293,74,1605321,1528048,76813,27574,22455,405,647,66,5,0,0,0,0,71,242,68,0,3,70,4,0,10,2876,0,2,5,0,615,121297,39919,57514,13695,4670,3234,0,803,0,0,773,16,345,330,258510,220921,27503,0,12,0,1,0,48,9952,1,0,7,27,0,6,111205,47744,0,0,43705,1,319,0,0,0,0,0,506,92,0,493,0,187,35,36,0,989,0,297,74,0,2387,4,0,0,59,0,290,5,3222,39,0,70,4,0,437,0,64,0,0,46,36,35,2811,280,908,410,5620
2002年9月,10755365,5494674,749637,151089,2374044,688714,325947,371408,215373,43401,166834,278786,53850,1592,6670,3052,0,444,584,2540,0,7,37,313,0,614,77,225,0,0,0,1,1025047,323723,137846,12840,207931,0,37589,4191,216075,22556,32753,0,75,462,0,2,29004,1271765,387456,112378,126322,96982,120664,72600,21284,73571,44933,14875,37579,16918,8355,11758,28684,7032,2670,3215,34930,672,34346,929,21,1449,0,937,877,3855,203,1493,0,0,17,5,125,2106,196,14,244,175,1532,1903983,1811919,91700,44497,36642,478,3147,74,3,0,0,2,1,172,430,80,0,0,21,101,0,53,2984,0,0,87,0,113,151023,72467,43786,17268,9931,3712,0,469,0,2,657,0,411,2321,281296,249759,22695,0,2,0,5,8,564,8244,0,1,0,0,0,3,362463,54677,256672,0,57,21305,767,45,200,0,0,0,29,0,0,474,5,186,1055,1,0,588,0,264,78,0,929,51,1,0,63,0,929,1,2858,100,0,0,0,0,411,0,188,0,0,11748,72,327,2146,330,1998,636,3265
2002年10月,10408995,5773778,741537,179071,2635995,676217,339794,342050,213757,41680,178951,287601,57699,1147,7444,3426,0,335,968,2592,0,5,64,619,14,292,610,90,1,0,0,0,810737,259981,187421,109247,104484,89617,6944,8702,193,33407,7718,0,97,2723,4,107,92,1390409,407627,152014,114049,99957,136359,118448,35817,74727,42077,17492,41852,15762,2832,15544,26042,11265,2865,3302,12145,967,30035,1317,25,1885,0,1412,629,1296,90,12845,0,0,5,45,158,909,7759,71,118,308,53,1512960,1444905,67042,42337,28274,431,3631,63,0,0,0,1666,0,154,478,27,0,0,74,15,1,38,2474,0,0,0,0,135,130282,47326,45930,14530,16091,4453,1,518,0,7,644,2,426,356,311742,275819,27904,0,20,17,0,0,1149,6567,11,4,3,230,0,15,251529,46832,85833,0,23897,53657,265,0,0,0,0,0,22763,186,249,432,1,0,107,0,0,1368,0,313,0,0,2314,51,5,1547,76,187,787,1,3244,84,75,213,0,0,499,0,94,0,0,17,2,235,1786,304,758,498,2847
2002年11月,9565528,5258061,760667,155040,2303318,614446,289235,322041,240211,36450,178532,249581,43608,1048,4766,2576,2,331,1570,1620,1,4,53,75,5,530,971,8,0,0,0,0,662259,210960,75671,55117,121556,38766,60230,6466,53561,31989,7576,0,26,122,8,144,67,1225546,396460,103535,120059,82019,154863,60938,22825,64924,41197,17541,42550,17448,3755,17479,19542,10019,3691,13028,7439,331,12977,1779,5,1887,0,382,2368,928,70,2721,0,0,1,6,53,1363,491,15,130,245,36,1624359,1513688,109988,39632,28140,254,6909,36,11,0,0,0,24,102,275,15,0,27,59,3,0,16,2835,0,0,0,0,810,134261,59228,40290,7853,21125,3999,20,376,0,0,653,29,603,84,229327,198871,24034,0,0,17,8,0,419,5932,1,21,0,0,0,15,228247,39466,90003,0,51018,27987,307,0,0,0,0,0,408,308,248,32,0,0,9,64,0,43,0,98,158,0,1715,28,1,2196,11,33,1304,0,6332,62,28,8,0,0,441,0,4,0,0,17,171,936,3409,121,187,571,521
