Imports from Country (Unit : US$ Thousand),總計,亞洲,中國大陸,香港,日本,韓國,新加坡,馬來西亞,印尼,越南,泰國,菲律賓,印度,孟加拉,巴基斯坦,澳門,亞塞拜然,柬埔寨,斯里蘭卡,緬甸,不丹,汶萊,尼泊爾,寮國,北韓,哈薩克,烏茲別克,喬治亞,亞美尼亞,土庫曼,塔吉克,吉爾吉斯,中東,沙烏地阿拉伯,科威特,阿拉伯聯合大公國,伊朗,伊拉克,土耳其,卡達,阿曼,以色列,巴林,阿富汗,塞普勒斯,約旦,黎巴嫩,敘利亞,葉門,歐洲,德國,荷蘭,英國,義大利,法國,俄羅斯,西班牙,瑞士,比利時,芬蘭,瑞典,奧地利,波蘭,丹麥,愛爾蘭,匈牙利,葡萄牙,捷克,挪威,斯洛伐克,烏克蘭,希臘,阿爾巴尼亞,保加利亞,教廷,冰島,盧森堡,馬爾他,摩納哥,羅馬尼亞,塞爾維亞,蒙特內哥羅,馬其頓,波士尼亞與赫塞哥維納,克羅埃西亞,斯洛維尼亞,白俄羅斯,摩爾多瓦,立陶宛,愛沙尼亞,拉脫維亞,北美洲,美國,加拿大,中美洲,墨西哥,巴拿馬,哥斯大黎加,巴貝多,巴哈馬,安圭拉,安地卡及巴布達,貝里斯,多明尼克,多明尼加,薩爾瓦多,瓜地馬拉,格瑞那達,海地,宏都拉斯,牙買加,蒙瑟拉特,尼加拉瓜,玻多黎各,聖露西亞,聖文森,千里達及托巴哥,聖克里斯多福及尼維斯,古巴,南美洲,巴西,智利,秘魯,阿根廷,哥倫比亞,玻利維亞,厄瓜多,圭亞那(法屬),蓋亞那,巴拉圭,蘇利南,烏拉圭,委內瑞拉,大洋洲,澳大利亞,紐西蘭,薩摩亞(美屬),斐濟,吉里巴斯,馬爾地夫,諾魯,巴布亞新幾內亞,紐克里多尼亞,萬那杜,所羅門島,大溪地,東加,吐瓦魯,薩摩亞,非洲,南非,安哥拉,赤道幾內亞,剛果,奈及利亞,埃及,賴比瑞亞,阿爾及利亞,波札那,蒲隆地,維德角,喀麥隆,中非共和國,查德,剛果民主共和國,葛摩,貝南,衣索比亞,厄利垂亞,吉布地,加彭,甘比亞,迦納,幾內亞,幾內亞比索,象牙海岸,肯亞,賴索托,利比亞,馬達加斯加,馬拉威,馬利,茅利塔尼亞,摩洛哥,模里西斯,莫三比克,納米比亞,尼日,盧安達,辛巴威,聖多美普林西比,塞內加爾,獅子山,索馬利亞,蘇丹,史瓦帝尼,坦尚尼亞,多哥,突尼西亞,烏干達,布吉那法索,尚比亞
2012年9月,23433663,12955270,3617430,332622,4085868,1228181,663893,735445,640685,227483,337749,210167,187173,3973,9650,683,125423,4348,2578,6160,7,1167,157,590,804,4997,728,629,10,0,14917,10,3457950,1507511,584413,280238,25790,227868,20169,472359,226743,54069,6402,0,194,12374,453,11,39355,2413270,688461,335576,168573,162827,236066,207434,46297,248157,45772,29479,32274,43853,12581,25527,20604,9266,5602,19737,14627,4075,35022,2363,57,3422,0,944,1266,822,84,4655,143,0,141,242,355,2009,131,452,1733,1477,345,2096377,1944972,150573,117154,46771,2735,27343,82,173,0,150,119,158,3643,754,3599,0,183,7298,209,0,5813,16656,69,23,440,0,391,580198,382645,106587,29373,24661,22743,147,786,86,156,1109,185,1137,10309,814947,736593,57891,531,112,0,96,1,3905,14326,169,279,0,0,0,95,989422,137008,427574,0,618,43428,212696,7,76734,2,0,0,446,0,71148,8906,0,1,183,0,0,31,139,300,0,76,801,318,6,0,143,104,167,202,3664,513,14,11,0,13,4,0,810,194,0,0,15,130,412,2371,123,9,87
2012年10月,23838912,13074605,3527599,306109,4341387,1247114,637413,815681,629228,232242,322348,182326,168872,4211,11028,809,123761,6402,2630,8802,0,1186,230,499,6146,3629,0,532,31,343,11751,23,3845116,1365857,553606,509874,37649,453659,15283,490234,279270,53792,74226,1,221,9199,1145,1,1098,2388023,678325,216078,185970,149837,368540,206357,43921,197326,61437,28782,38706,42706,21339,22274,36406,9848,5405,28313,15702,5582,4017,875,32,1918,0,1051,1580,565,53,8684,61,0,74,304,198,1929,111,248,678,726,449,2222709,2056579,164686,149621,74223,2452,30418,123,22,0,39,195,47,5587,1098,5796,0,363,2987,114,0,5377,19010,0,0,242,1,1198,538223,297274,147412,72704,11142,3813,71,413,47,326,476,639,2821,695,944504,866581,52529,170,290,0,165,0,155,22454,20,483,3,0,0,50,666482,101680,432326,57315,474,42421,674,7,1,0,0,0,1529,95,359,2418,0,0,170,0,0,93,19,757,8,0,86,361,4,0,144,204,1,92,3907,463,532,339,0,6,4876,0,579,0,0,189,50,4797,2615,1149,98,453,5190
2012年11月,21890059,11340623,3263335,355475,3516238,1206595,525738,598982,497389,163259,274776,180649,230748,4183,5651,852,0,4505,1933,3045,0,3138,222,124,2731,5467,0,641,32,622,7155,18,3934223,1327062,907313,236593,242890,429346,11846,250447,462055,53986,6542,0,172,4670,649,0,652,2476492,603083,399649,150368,144477,350145,291131,41595,120770,57344,20087,45542,38908,18686,21852,23943,6863,4870,18858,81171,2806,6044,7234,37,2791,0,2501,2438,550,68,5388,54,0,61,127,197,1526,126,190,1319,1236,964,1941322,1828662,110780,135375,65997,1750,31502,159,129,112,116,49,258,6088,446,3466,0,115,2729,160,0,3845,17805,18,36,86,20,182,443729,299311,115202,13076,8824,3036,6,592,51,238,63,429,1205,1386,749259,689290,43097,11,154,0,34,10,674,15159,54,0,24,0,0,10,859155,54208,656171,0,5202,57355,55456,0,0,0,0,0,481,0,0,5466,0,554,487,133,0,104,0,12,7,0,82,690,15,90,56,1108,414,89,2582,419,3752,189,62,2,897,0,212,0,1,366,32,695,0,591,153,152,10803
2012年12月,22275763,11993533,3563263,246428,3841202,1265966,600880,525011,549643,193702,283710,164038,218244,4021,23106,345,0,3528,2461,3193,0,3737,102,176,5488,3120,168,613,9,482,9661,0,3621603,1136336,648090,312677,22583,208410,20960,536148,663765,56009,6384,6,182,9532,118,0,403,2686593,674563,352236,166395,179547,370121,341409,43907,191999,54556,26241,36995,30147,17703,18721,28938,10122,4734,14803,72352,4057,14238,2930,54,2003,0,2706,916,646,54,6126,439,0,37,166,323,2187,9532,161,895,825,441,2295048,2168541,123461,191721,51444,3900,40005,251,214,0,7,2,81,2293,941,3046,46,412,2827,193,0,3002,26280,28,0,55485,2,882,436990,264010,145595,11192,9595,4120,23,492,0,186,9,200,834,214,691755,618989,47366,330,348,98,161,0,981,21632,139,546,2,0,0,108,347560,57954,217282,0,900,53698,908,0,0,0,39,0,589,130,0,2781,0,434,442,0,0,78,0,27,0,0,44,56,11,83,96,0,49,61,2747,215,3,196,0,2,954,0,251,0,0,16,8,84,0,1003,43,1,6298
2013年,277384288,148189653,43345498,1585409,43689850,16162544,8605822,8254795,7173389,2696409,3793413,2320922,2758360,97822,296511,9078,499021,38680,44349,101581,21,61242,2041,13142,37669,38446,2295,9305,33772,50903,25267,190,43647471,15636052,8421646,4594393,1133515,2641868,190341,6228957,3531831,879785,213790,50,3020,85729,8066,254,78165,31012117,8497104,4668870,1923422,2228655,2958830,3293921,677745,1929738,772793,359417,555122,482278,217629,255801,348181,163057,73608,197926,756482,53581,160122,101040,732,39538,1,17626,16565,48134,743,69682,5645,2,1668,2006,4043,23387,48584,4618,13914,12347,7765,29399774,27784597,1594430,2363607,950439,40207,556424,3241,1590,3,1258,1257,837,32697,58480,71211,599,3490,39310,6704,19,69513,418558,472,612,61469,9,10409,5371074,2820280,1757814,196354,459583,44385,3024,9006,75,3800,8203,3055,20093,41762,9050614,8105533,756553,1574,4177,232,1395,55,10387,146700,656,4228,294,41,0,1188,8257372,1426333,3868637,329479,27756,715431,197271,401,772375,0,99,1,4932,34,49235,44745,18,5141,8069,1385,1,2138,11,217670,82,744,9351,7089,100,130308,4805,2386,6422,1152,128019,6895,114707,12090,83,185,5731,14,5353,9,17,5512,757,4213,5656,69354,1814,5447,57471
2013年1月,25733163,14032881,4240454,240162,3908373,1518827,704270,693668,739629,244481,356281,200052,355677,25363,19390,1856,131119,4598,13827,3998,0,1152,203,143,4497,5833,156,646,6,375,4396,3,4068115,1206341,915377,366763,251346,207634,18349,545865,441003,97875,5325,4,481,9193,1175,77,1305,2813120,716226,376627,180511,185827,369593,308204,58953,186373,75852,28795,49432,34937,28197,22368,34734,9004,8682,19609,71666,4567,10192,7547,36,3275,0,1834,490,1651,67,5112,144,0,73,242,294,2020,3861,282,1231,1750,947,2592342,2433705,156999,183999,74272,4508,50252,219,384,0,154,46,153,2219,1498,5296,38,113,4210,196,0,5585,30985,136,143,388,1,2118,437083,228264,155209,25188,20723,3338,65,966,0,740,117,503,1537,230,978221,885244,68762,320,186,0,134,0,851,20634,71,440,0,0,0,149,617532,79262,313654,0,2793,28384,2578,0,80172,0,0,0,538,0,1782,10810,0,413,482,128,0,165,0,498,5,0,864,571,7,78746,216,130,3,187,3848,506,2,199,38,5,819,8,245,3,0,422,17,663,651,1659,45,1,5948
2013年2月,19239677,9631772,2338030,92493,3215438,1106949,654305,476568,491947,104317,240627,139890,184153,4408,7187,735,122911,2828,1760,9378,0,3939,81,824,2964,913,0,225,8,195,4821,0,3634252,1248089,641921,234313,13929,413591,11550,601097,380975,76693,6946,0,271,3634,512,0,732,1964534,444846,185077,119330,167507,173558,370585,31964,156453,49985,24562,40234,22806,12620,16531,23487,5619,4395,12778,73931,1697,8874,1014,58,2281,1,944,673,1170,2,3053,75,0,208,82,135,1637,2411,60,465,1165,599,2400952,2325647,75075,169531,68567,2278,46679,150,74,0,0,44,2,1981,1711,3403,0,75,2076,80,0,4714,36981,3,93,91,0,397,282936,122009,122855,10512,22470,2695,26,277,0,305,98,147,220,1071,689000,637308,41257,64,276,0,74,17,461,8563,0,306,0,0,0,0,458390,31260,210993,0,736,32069,844,0,122337,0,0,0,436,3,45615,34,0,132,368,0,0,13,0,4,8,0,0,235,11,0,177,0,7,3,3495,354,6099,13,0,4,528,0,38,0,10,562,1,121,0,929,56,0,874
2013年3月,24851593,13378264,3759768,135687,4167438,1585948,683415,573777,594148,207649,316694,191113,363790,5735,65494,462,124735,4075,2860,3936,7,1560,126,655,5764,4546,160,4384,8,279,10268,50,3930887,1439627,808606,536404,29050,207603,19540,489061,252645,68663,66723,1,346,9772,605,0,2241,2691465,772214,375577,162822,214470,217478,267979,54337,171071,77207,25811,41671,48382,21475,27607,27297,13708,7656,18796,74820,4909,4447,36363,25,4041,0,1282,898,4296,60,5893,465,0,93,143,294,1256,2574,182,954,645,392,2673260,2517318,153428,212291,93300,2809,36334,340,45,0,101,108,136,3029,21803,5989,132,215,2030,98,0,4913,39590,47,35,423,0,369,521022,314444,158118,14156,26716,3719,337,396,43,402,174,227,1620,484,709328,632229,67757,332,626,0,188,0,138,6172,90,288,0,0,0,68,726390,75945,445834,0,9438,114407,1984,0,0,0,5,0,623,28,0,7822,0,951,1281,0,0,82,0,8,0,0,476,890,16,220,231,120,483,134,56160,163,151,3999,0,24,0,1,248,0,0,494,18,504,9,1772,256,412,1166
2013年4月,23553066,12658459,3622279,123238,3623583,1439331,715798,723736,569232,248119,319036,155196,352150,5571,17502,1244,119608,3473,2028,7085,0,1,106,1385,1314,4146,209,560,7137,134,4390,18,3518355,1419849,392222,292243,230212,206104,14937,509584,318788,92455,31120,5,156,8381,869,6,1425,2439314,686196,230390,159827,170466,220053,357648,42425,186308,75511,32384,45514,45898,23895,18887,38681,19123,5187,19859,13139,3905,8942,3657,28,3845,0,1220,998,3257,31,5540,252,0,58,74,349,1384,9892,104,1250,1105,434,2558970,2418803,139512,169242,77121,2936,37833,188,1,0,80,98,51,2951,1889,6342,13,279,1460,260,0,4668,31619,0,12,622,2,355,382181,249341,79339,24976,21067,4180,279,470,32,94,195,205,669,865,975932,893649,64561,49,508,0,165,0,1176,13706,18,788,91,0,0,104,841553,161860,434181,0,366,51356,48655,0,110224,0,0,0,820,0,1433,195,0,4,1109,0,1,261,10,145,4,0,683,429,2,35,181,83,106,288,5933,568,13078,4083,0,1,1,1,547,1,0,951,26,172,1462,1097,583,508,99
2013年5月,22664587,12015872,3506500,113993,3498241,1226171,874597,695248,549773,253264,299388,167531,216551,21610,52860,675,648,1867,1725,4973,0,26,125,1401,3279,4193,0,627,3,0,0,0,3174359,930126,848335,331564,28789,0,11125,490087,354715,96373,6429,1,497,12837,518,26,62931,2494370,765661,433696,156829,162753,202638,183186,45683,133875,57023,24287,36426,51051,18837,20545,26700,13907,5638,12699,92262,5017,14625,3357,59,6852,0,962,941,5126,178,4821,497,1,53,132,278,1397,2620,198,702,1104,264,2958002,2818673,138737,224833,122217,3269,50462,350,131,0,205,15,83,2176,1182,8521,40,105,1119,1048,0,2447,29069,33,98,1020,1,228,395900,218638,90820,6045,72791,3154,169,594,0,330,855,151,747,989,704563,610376,74979,124,386,76,55,1,307,16291,18,614,0,0,0,187,687160,140153,210680,0,7211,101873,78770,0,0,0,79,0,386,2,0,9197,0,322,1692,0,0,41,0,104915,8,246,517,490,7,214,1603,304,53,281,3669,314,17944,197,16,58,142,2,228,1,0,998,27,308,901,825,107,742,1619
